1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
正常昇華點　　　	正常升華點
當量濃度	規定濃度，當量濃度
正戊烷	正戊烷
正丙醇	正丙醇
核型原子	含核原子；核型原子
核能	核能
核分裂	核裂變
核熔合	核融合
核磁共振	核磁共振 
核酸	核酸
核苷酸	核苷酸 
原子核	細胞核
耐綸	耐綸，尼龍
鄰溴甲苯	鄰溴甲苯
辛烷值	辛烷值 
八隅體法則	八隅規則；八角定則
鄰烴苯甲酸	鄰羟基苯甲酸; 水楊酸
油	油
油滴實驗	油滴實驗
歐拉	歐拉
寡醣　 	寡糖
鄰甲酚	鄰甲酚
單步驟反應　 	一步反應
鄰硝酚	鄰硝基苯酚
翁沙格	昂薩格
鄰苯酚磺酸	鄰苯酚磺酸
光纖 	光纖 
光學異構物	光學異構體
旋光能力	旋光強度
軌道	軌道
軌域	電子軌道
熔爐	熔礦爐
有機化合物	有機化合物
有機發光二極體	有機發光二極體；OLED
有機物質	有機物
定位序	取向序
奧綸	奧綸
鄰	(鹽、酸)正的；鄰位的
滲透	滲透
滲透壓	滲透壓 
奧士華	奧斯特瓦爾德
奧士華法	奧斯特瓦爾德方法
重疊	重疊
草酸	草酸 
酢漿草屬	醋漿草
氧化劑	氧化劑
氧化	氧化 
氧化半反應　 	氧化半反應
氧化數	氧化值
氧化電位	氧化電位
氧化反應	氧化反應
氧化數法　 	氧化數法
氧化還原滴定   	氧化還原滴定法
氧化劑	氧化劑 
含氧酸	含氧酸
含氧酸	含氧酸
氧	氧；氧氣
氧循環	氧循環
鄰二甲苯	鄰二甲苯
臭氧	臭氧 
臭氧洞	臭氧洞
臭氧層	臭氧層
填料	包裝；填充物
油漆	油漆
對	對位的
石蠟	石蠟
分壓	分壓力
懸浮微粒 	顆粒物質，懸浮微粒
十億分點	十億分率，十億分之幾
百萬分點	百萬分之，百萬分率
帕申係	帕邢係
巴斯德	巴斯德
包立　 	泡利
包立不相容原理	泡利不相容原理 
鮑林	鮑林
p-區元素　	ｐ區元素
對二氯苯	對二氯苯
青黴素	青黴素
戊烷	戊烷
戊醣　 	戊糖
胃蛋白酶	胃蛋白酶 
肽鍵	肽鍵
肽指紋法　　	肽指紋圖譜
肽鍵聯	肽鍵
解膠	膠溶
解離百分比	分解百分比
遊離百分比	離子化百分比
百分產率	百分産率
體積百分率	體積百分率
全氟碳化物	全氟化碳
週期	周期
週期定律	周期律
週期表	周期表
元素週期表	元素周期表
永久硬水	永久硬水
石油化學工業	石油化學工業 
石油	石油 
石油醚	石油醚
石油精煉	石油加工
菲佛　 	菲佛
pH計	pH計 
相	相，相位 
相界	相(邊)界
相圖	相圖
菲	菲
酚	酚
酚紅　  	酚紅
酚甲醛樹脂	酚醛樹脂
酚酞	酚酞
酚類	酚類
磷光	磷光
磷酸燃料電池	磷酸燃料電池 
磷	磷
五氧化二磷	五氧化二磷
光觸媒	光催化劑(光觸媒)
光化反應	光化學反應 
光化學煙霧	光化學煙霧
光電池　 	光電池
光子	光子
光阻劑	光致抗蝕劑
光合作用	光合作用
物理變化	物理變化
物理性質	物理性質
生鐵	生鐵
顏料 	色素；顔料
畫素	像素
普朗克	普朗克
普朗克常數	普朗克常數
普藍特	普蘭特
普朗特	普朗泰
電漿	等離子體
電漿顯示器	等離子體顯示屏
塑膠	塑料
塑膠封裝 	塑料填密
電鍍液	電鍍液
鉑黑	鉑黑
褶板	折疊片
葡萄乾布丁原子模型	梅子布丁模型（葡萄幹蛋糕模型）
對硝苯酚	對一硝基苯酚
極性共價鍵	極性共價鍵
空氣汙染指標 	空氣汙染指標
聚甲基丙烯酸甲酯	聚甲基丙烯酸甲酯
聚丙烯腈	聚丙烯腈 
聚醯胺	聚酰胺
多氯聯苯	多氯聯苯
多環芳香烴	多環芳烴
多牙配位子	多齒配體
高分子電解質	聚電解質
聚酯	聚酯 
聚對酞酸乙二酯	聚對苯二甲酸乙二醇酯;PET
聚乙烯	聚乙烯;PE
聚乳酸	聚乳酸
聚乳酸　 	聚交酯
聚合物	聚合物，高分子
聚合	聚合 
多肽	多肽
多酚類	多酚類
聚丙烯	聚丙烯;PP
多質子酸	多元酸
多醣	多糖
聚苯乙烯	聚苯乙烯;PS
聚四氟乙烯	聚四氟乙烯；PTFE
聚胺甲酸酯	聚氨基甲酸酯;PU
聚乙烯醇	聚乙烯醇;PVA
聚氯乙烯	聚氯乙烯;PVC
多孔障壁	多孔隔板
位置有序	位置序
正光阻劑 	正光阻
二鉻酸鉀	重鉻酸鉀
酒石酸鉀鈉	酒石酸鈉鉀,酒石酸鉀鈉
勢	勢
電位差	電位差 
沈澱	沈澱,沈澱物
沈澱反應	沈澱反應
防腐劑	防腐劑 
一級醇	伯醇
原電池	原電池
原標準級	標準等級
一級結構{生化}	一級結構
主量子數　  	主量子數
印刷電路板	印刷電路板
機率	概率 
產物　 	産物
丙醛	丙醛
丙二酸	丙烷二羧酸
丙酸	丙酸
丙烯	丙烯
甲酸丙酯	甲酸丙酯
丙炔	丙炔
前列腺素	前列腺素
蛋白酶體	蛋白酶體
蛋白質	蛋白質
蛋白質變性	蛋白質變性
質子	質子
質子受體	質子受體
質子予體	質子給體
質子交換膜	質子交換膜
質子交換膜燃料電池	質子交換膜燃料電池
普魯斯特	普魯斯特
普魯士藍　 	普魯士藍
聚苯乙烯	聚苯乙烯
純物質	純物質
純化	純化,淨化
對二甲苯	對二甲苯
派熱司玻璃{商}	派熱斯玻璃
氯鉻酸吡啶	氯鉻酸吡啶；PCC
黃鐵礦	黃鐵礦
量子化學	量子化學
四級結構 {四級結構}	四級結構
石英	石英
槲皮素	槲皮素
生石灰	生石灰
奎寧	奎甯
醌	醌 
雷達管	雷達顯示管
輻射能	輻射能 
放射性衰變	放射性衰變 
放射性	放射性 
氡	氡
棉子糖	棉子糖
拉姆賽	拉姆齊
酸敗	酸敗 
藍道爾	蘭道爾
拉午耳	拉烏爾
拉午耳定律	拉烏爾定律
速率常數	速率常數
速率方程式	速率方程
速率定律	速率定律
示性式	示構式
嫘縈	人造絲
反應物	反應物
反應級數　 	反應級數 
反應商	反應係數
反應速率	反應速率
可充電電池	可充電電池
回收	回收
再結晶	重結晶
循環使用	循環
紅磷	紅磷
氧化還原反應	還原氧化反應 
減量使用	還原
還原劑	還原劑
還原	還原
還原半反應　 	還原半反應
還原電位	還原電位
還原反應　 	還原反應
參考電極	參比電極
重組	重組
再生纖維	再生纖維
再生	再生作用 
相對原子質量	相對原子質量 
相對溼度	相對濕度
典型元素	代表元素
樹脂	樹脂
共振穩定能　　　	共振穩定能
共振結構	共振結構
重覆使用	重新使用
逆滲透	反滲透，反相滲透 
逆反應	逆反應
可逆反應	可逆反應 
斜方硫	斜方硫
核糖核酸	核糖核酸 ,RNA
核糖核苷酸	核(糖核)苷酸
核糖	核糖 
水晶	水晶,石英
岩鹽	岩鹽
搖椅式電池　   	搖椅式電池
羅列　  	羅勒
迴轉生物接觸器 	旋轉生物導體
轉子	轉子
羅以玆　  	羅伊茲
橡膠	橡膠
拉塞福	盧瑟福
芮得柏	裏德伯
芮得柏常數	裏德伯常量
醣	糖類
糖精	糖精
犧牲陽極　  	犧牲陽極
柳酸鹽	水楊酸鹽
柳酸	水楊酸 
鹽	鹽
鹽橋	鹽橋
皂化	皂化，皂化作用
飽和脂肪酸	飽和脂肪酸
飽和烴	飽和烴
飽和溶液	飽和溶液
飽和蒸氣壓	飽和蒸汽壓
s-區元素　	ｓ區元素 
標	汙垢，刻度
掃描電子顯微鏡	掃描電子顯微鏡，SEM
掃描電子顯微術	掃描電子顯微鏡檢查法,SEM
掃描穿隧顯微鏡	掃描隧道電鏡,STM
掃描穿隧顯微術	掃描穿隧顯微鏡法,STM
海水淡化	海水淡化
二級醇	仲醇
二次電池	蓄電池
二級結構{生化}	二級結構
二級反應	二級反應
半導體 	半導體 
半透膜	半透膜 
分離	分離 
形狀記憶合金 	形狀記憶合金
殼	殼，殼層
SI單位	SI單位
鐮狀細胞貧血	鐮狀細胞貧血 
鐮狀細胞血紅素	鐮狀細胞血紅蛋白
矽膠　 	矽膠
矽晶片	矽片
銀鏡反應	銀鏡反應
銀鏡試驗	銀鏡試驗 
氧化銀電池　   	氧化銀電池
氧化銀電池	氧化銀電池
銀鋅電池	鋅-銀電池
簡單立方單位晶格	簡單立方晶胞
簡單蛋白質	單純蛋白質 
最簡式	最簡式
單鍵	單鍵
史莫利	斯莫利
層列狀	近晶狀
肥皂	肥皂
鈉鹼	純堿 
硼氫化鈉	硼氫化鈉
氯化鈉	氯化鈉，食鹽（俗稱）
正十二烷硫酸鈉	十二烷基硫酸鈉;SDS
乙氧鈉	乙氧基鈉
碳酸氫鈉	碳酸氫鈉,小蘇打(俗稱)
氫氧化鈉	氫氧化鈉
硫酸月桂酯鈉	硫酸月桂酯鈉，月桂硫酸酯鈉
酚鈉	苯酚鈉
聚丙烯酸鈉　  	聚丙烯酸鈉
軟性清潔劑	軟洗劑
溶膠	溶膠
太陽能電池	太陽能電池 
太陽能	太陽能
固體	固體
固體乳液	固體乳液
固體泡沫	固體泡沫
固態氧化物燃料電池	固體氧化物燃料電池
固態	固態
固化	固結過程
溶度	溶解度 
溶度積	溶度積
溶度積常數	溶度積常數
溶質	溶質
溶液	溶液
索耳未	索爾韋
索耳未法	索爾韋法
溶劑	溶劑
索末菲　	索末菲爾德
山梨醇	山梨醇
山梨醇	山梨糖醇 
索任生	索任生
大豆寡醣	大豆低聚糖
空間填充模型	空間填充模型
特異性	專一性，特性
光譜法	光譜法
光譜	光譜 
自發性的	自發的
自發性氧化還原反應	自發性氧化還原反應
史塔耳	斯塔爾
標準反應熱	標準反應熱
標準氫電極	標準氫電極；SHE
標準莫耳燃燒熱	標準摩爾燃燒熱
標準莫耳生成熱	標準摩爾生成熱
標準莫耳體積	標準摩爾體積
標準電位	標準電位
標準還原電位	標準還原電位
標準態	標準態 
標準溫壓	標準溫度和壓力，STP
標定　	標準化,標定
澱粉	澱粉 
立體異構物	立體異構體
化學計量係數	化學計量係數
化學計量	化學計量
化學計量	化學計量 
蓄電池	蓄電池 
蓄電池	蓄電池
平流層	平流層
鍶	锶
結構式	分子式
結構異構物	同分異構體，結構異構物
苯乙烯	苯乙烯
苯乙烯-丁二烯橡膠	丁苯橡膠
次原子粒子	次原子粒子,  亞原子微粒
昇華	升華
副殼層	支殼層
心土	心土，底土
取代	取代
取代反應	置換反應
取代合金	取代合金
受質　	底物
蔗糖	蔗糖
糖動力生物電池　   	糖動力生物電池
磺酸化	磺化
硫氧化物　	硫氧化物 
超吸水性聚合物　  	高吸水性樹脂，高吸水性聚合物
超強酸	過酸
超導體	超導體
超臨界流體	超臨界流體
超疏水	超疏水
超氧化物	超氧化物
過飽和溶液	過飽和溶液
界面活性劑	表面活性劑 
懸浮固體	懸浮固體
永續發展	可持續發展
膠體脫水	脫水收縮
合成	合成
合成纖維	合成纖維 
合成聚合物	合成聚合物 
合成樹脂	合成樹脂
單寧	單甯 
捲帶自動接合	帶式自動焊接
陶比	陶布
特夫綸	鐵氟龍
溫度	溫度
回火	回火
暫時硬水	暫時硬水
對苯二甲酸	對苯二甲酸 
三級丁醇	叔丁醇
三級醇	叔醇
三級結構{生化}	三級結構 
四氯乙烯	四氯乙烯,  全氯乙烯
四氯甲烷	四氯化碳
四氫呋喃	四氫呋喃；THF
茶黃素	茶黃素
茶紅素	茶紅素
茶鹼 	茶堿
理論產量	理論産量
解離說	電離理論
電解質解離說    	電離理論
治療劑量	治療劑量
熱壓接合 	熱壓接合
熱汙染	熱汙染 
熱化學方程式	熱化學方程式 
熱化學	熱化學 
溫度計	溫度計
熱塑性塑膠	熱後可朔性物質
熱塑	熱塑性塑料
熱塑性聚合物	熱塑性聚合物
熱固性	熱固性
熱固型塑膠	熱固性塑料 
熱固型聚合物	熱固聚合物
增溫層	熱層
薄膜電晶體液晶顯示器 	薄膜電晶體液晶顯示器
硫醇化合物　  	硫醇化物
亞硫醯氯	亞硫酰氯
湯姆森	湯姆森
低限能	阈能
胸嘧啶	胸腺嘧啶
甲狀腺素	甲狀腺素
馬口鐵　  	馬口鐵
二氧化鈦	二氧化钛
滴定曲線	滴定曲線 
滴定終點　  	滴定終點
多侖試劑	托倫斯試劑（吐倫試劑）
甲苯	甲苯 
表土	表土 
中毒量	中毒量 
痕量元素	痕量元素 
痕量汙染物	痕量汙染物
示蹤物	示蹤劑 
反	反，經
反式異構物	反式異構體
反2-丁烯	反式-2-丁烯
反丁烯二酸	反丁烯二酸
轉酯化	酯交換，轉酯基作用 
過渡	躍遷，轉換
過渡元素	過渡元素 
過渡狀態	過渡態
蒸散作用	蒸騰
超鈾元素	鈾後元素
三酸甘油酯	三酰甘油 
三氯甲烷	三氯甲烷(氯仿)
三碘甲腺胺酸	三碘甲狀腺氨酸
三甲胺	三甲胺
三硝甲苯	三硝基甲苯，TNT
參鍵	三鍵 
三相點	三相點
三質子酸	三元酸
對流層	對流層
滕氏藍　 	騰氏藍
廷得耳	廷德爾
廷得耳效應	廷德爾氏效應
典型元素	典型元素
泛素 	泛素 
超音波接合	超聲波焊接
紫外光/可見光	紫外線/可見光
紫外線	紫外線
單位晶胞	晶胞 
通用氣體常數	通用氣體常數
廣用指示劑	通用指示劑
無鉛汽油	無鉛汽油
不飽和脂肪酸	不飽和脂肪酸
不飽和烴	不飽和烴
不飽和溶液	不飽和溶液
尿嘧啶	尿嘧啶
尿素	尿素
價電子	價電子
價殼	價電子層
價殼電子對互斥	價層電子對互斥理論
纈胺酸	缬氨酸
凡得瓦	範德瓦爾斯
凡得瓦力	範德瓦耳斯力
凡特何夫	範特霍夫
凡特何夫因數	範托夫因子
植物纖維	植物纖維
蛭石	蛭石
伏打	伏打
電壓	電壓
伏打電池	伏打電池
伏打堆　 	伏打電堆
體積百分率	體積百分數
體積百分率濃度   	體積百分濃度
體積莫耳濃度	體積摩爾濃度
何夫曼	霍夫曼
晶片	晶片
晶圓製程 	晶圓制造
晶圓測試 	晶圓測試
洗滌鹼	洗滌堿 
水煤氣	水煤氣
水軟化	軟化
水溶液	水溶液
水蒸氣壓	水汽壓
水溶性樹脂	水溶性樹脂
華生	沃森
波數	波數
重量百分數濃度	重量百分率濃度
重量百分率濃度	重量百分比濃度
維爾納　 	維爾納
白磷	白磷
冬青油	冬青油
烏勒	維勒
木醇	甲醇,  木精
世界環境與發展委員會	世界環境與發展委員會
世界衛生組織	世界衛生組織；WHO
黃蛋白反應	黃色蛋白反應
氙	氙
二甲苯　	二甲苯
木糖醇	木糖醇
產率	收率
產量百分率　  	收率百分數
沸石	沸石
零級反應	零級反應
齊威爾　  	齊威爾
戚格勒	齊格勒催化劑
鋅銅電池	鋅銅電池
帶域熔化法　  	區域熔融法
帶熔精煉法	區域精煉法
兩性離子	兩性離子
α-胺基酸	α-氨基酸
α螺旋	α-螺旋
β-胡蘿蔔素	β-胡蘿蔔素
π 鍵	π鍵
2,4-二氯苯氧乙酸	2,4-二氯苯氧乙酸
2,6-二氯酚吲哚酚	2,6-二氯酚吲哚酚
3-磷酸甘油醛	3-磷酸甘油醛
5-羥基色胺	5-羟基色胺；血清素
A 帶	A 帶；暗帶
A位	氨酰位
外旋神經	外展神經
臺灣冷杉	台灣冷杉
自然發生說	自然發生說
非生物因子	非生物因子
皺胃	皺胃
離層酸	脫落酸
離素	離素；離層酸
脫離	脫離；脫落
離層	離層
絕對寄生物	絕對寄生物
吸收光譜	吸收光譜
豐度	豐度
接受者 	受體，接納體
副果	附果
副神經	副神經
輔助色素	輔助色素
調適	調適
乙醯輔酶 A 	乙醯輔酶 A 
乙醯膽鹼	乙醯膽堿
軟骨發育不全	軟骨發育不全
酸生長假說	酸生長假說
酸降物	酸雨
酸雨	酸雨
酸血症	酸血症
酸中毒	酸毒症
無體腔動物	無體腔動物
後天性免疫缺失症	獲得性免疫缺陷綜合征,艾滋病
後天性免疫	適應性免疫，獲得性免疫
肢端肥大症	肢端肥大症
頂體	頂體
肌動蛋白	肌動蛋白
動作電位	動作電位
作用光譜	作用光譜
活化	活化
活化能	活化能
活化型	活化型
主動免疫	主動免疫
活性位	活性部位
主動運輸	主動運輸，主動轉運
活性	活性
喉結	喉結
適應	適應
適應輻射	適應輻射
艾迪森病	艾迪生病
內收肌	內收肌；閉殼肌
腺嘌呤	腺嘌呤
腺苷	腺苷
腺苷去胺酶	腺苷脫氨酶 
腺苷二磷酸	腺苷二磷酸
腺苷單磷酸	腺苷酸
腺苷三磷酸	腺苷三磷酸
腺病毒	腺病毒
吸附	吸附；附著
附著力	附著力
腎上腺	腎上腺
艾迪森病	腎上腺皮質功能不全
腎上腺素	腎上腺素
促腎上腺皮質素	促腎上腺皮質素；皮促素
促腎上腺皮質素	促腎上腺皮質素；皮促素
不定根	不定根
氣生根	氣生根
好氧菌	好氧菌；需氧菌
好氧	好氧
好氧菌	好氧菌；需氧菌
有氧呼吸	有氧呼吸
入球小動脈	入球微動脈
傳入神經元	傳入神經元
親和力	親和力
黃麴毒素	黃曲黴毒素
胞衣	胞衣
洋菜	瓊脂
年齡結構	年齡結構
凝集	凝集
凝集素	凝集素
聚合果	聚合果
無頜類	無颌類
農桿菌	農杆菌
農桿菌	農杆菌
愛滋病 {後天性免疫缺失症	獲得性免疫缺陷綜合征,艾滋病
白化症	白化病，白化
白蛋白	白蛋白，清蛋白
酒精發酵	酒精發酵
醛固酮	醛固酮
糊粉層	糊粉層
藻類	藻類
藻類繁生	藻類繁生；藻華
藻類繁生	藻類繁生；藻華
藻膠	藻膠
外來入侵種	外來侵入種
外來種	外來種
鹼血症	堿血症
生物鹼	生物堿
鹼中毒	堿中毒
尿囊	尿囊
等位基因	等位基因
過敏原	變應原
過敏反應	變態反應，過敏反應
過敏性鼻炎	變應性鼻炎，過敏性鼻炎
過敏	變態反應，過敏反應
蒜素	蒜素
異域種化	異域成種，異域物種形成
異源多倍體	異源多倍體
全有全無律	全或無定律
阿法螺旋 	阿法螺旋 ；α 螺旋
高山凍原	高山草甸風景區
質外體	質外體
互生 {植物}	互生 {植物}
世代交替	世代交替
選擇式剪接	選擇式剪接
利他行為	利他行爲
肺泡巨噬細胞	肺泡巨噬細胞
肺泡	肺泡
常開通道	常開通道
阿滋海默症	Alzheimer disease, 阿爾茨海默病
胺類	胺類
胺基酸	氨基酸
胺基	胺基
A位 	氨酰位
氨	氨
成氨作用	成氨作用；氨化作用
羊膜穿刺	羊膜穿刺
羊膜	羊膜
羊水 	羊水 
變形蟲	變形蟲
變形蟲	變形蟲
變形蟲狀真核細胞	變形蟲狀真核細胞
變形蟲運動	變形蟲運動
兩生綱	兩生綱；兩棲綱
兩生類	兩生類；兩棲類
假交配	假交配
壺腹	壺腹，捕蟲囊
杏仁核	杏仁核；杏仁體
澱粉酶	澱粉酶
類澱粉蛋白	澱粉樣物質
澱粉體	造粉體
念球藻	念球藻
同化代謝	合成代謝
厭氧菌	厭氧菌
厭氧菌	厭氧菌
無氧呼吸	無氧呼吸
後期 {細胞週期}	後期 {細胞周期}
解剖學	解剖學
雄性素 	雄性素 
雄固酮 	雄酮
風媒花	風媒花
非整倍體	非整倍體
非整倍體	非整倍體
心絞痛	心絞痛
被子植物	被子植物
血管收縮素	血管緊張素(肽)
第二型血管收縮素	血管緊張素(肽)II
血管收縮素原	血管緊張素(肽)原
動物病毒	動物病毒
動物界	動物界
異配結合	異配生殖
環節動物　	環節動物　
環節動物門	環節動物門
年輪	年輪
拮抗作用	拮抗作用
拮抗劑	拮抗劑
拮抗肌	拮抗肌
天線色素 {光合作用}	天線色素 {光合作用}
觸角腺	觸角腺
眼前房	眼前房
前角	前角
腦垂腺前葉	垂體前葉
花藥	花藥
藏精器	藏精器
副果	副果；假果
花青素	花色素
類人猿	類人猿
類人猿亞目	類人猿亞目
抗生	抗生
抗生素	抗生素
抗體	抗體
抗體媒介免疫	抗體媒介免疫
反密碼子	反密碼子；互補密碼子
抗利尿素	抗利尿素；血管加壓素
抗原	抗原
抗原呈現細胞	抗原呈現細胞
抗原受體	抗原受體
反向平行	反向平行
反足細胞	反足細胞
反足細胞	反足細胞
防腐劑 	防腐劑 
焦慮症	焦慮症
