1,2,3-三甲苯	偏三甲苯；1,2,3-三甲苯 
孤電子對	孤電子對
孤電子對	孤電子對
孤對電子	孤對電子
蓮花效應	荷葉效應，蓮花效應
低密度聚乙烯	低密度聚乙烯
洛瑞	洛利
螢光素酶	螢光素酶 
發光能量	光能
來曼係	萊曼係
麥克笛米德　   	麥克迪爾米德
碳酸鎂	碳酸鎂
碳酸氫鎂	碳酸氫鎂
過氯酸鎂	高氯酸鎂，過氯酸鎂
主族	主族
主族元素　  	主族元素
麥芽糖酶	麥芽糖酶 
麥芽糖	麥芽糖 
馬可士　   	馬庫斯
人造奶油	珠酯，人造黃油
大麻	大麻
馬可尼可夫	馬爾科夫尼科夫
馬可尼可夫法則	馬爾科夫尼科夫規則
馬可尼可夫法則	馬爾科夫尼科夫規則
罩	罩
質量	質量 
質量平衡	物料平衡
質量數	質量數
質譜儀	質譜儀
物質	物質
最大治療劑量	最大治療(劑)量
間氯苯酚	間氯酚
間二氯苯	間二氯苯
搖頭丸	二亞甲基雙氧苯丙胺，搖頭丸
機械效率	機械效率
熔點	熔點
薄膜槽　  	膜燃料電池
記憶效應	記憶效應
門得列夫	門捷列夫
鍆	钔
水銀電池 	水銀電池
汞陰極電解槽	汞陰極電解池
汞電池	汞極電池，水銀電池 
中氣層	中間層
間	在…其中，元
金屬	金屬
金屬錯合物	金屬絡合物
金屬氧化物半導體	金屬氧化物半導體
金屬鍵	金屬鍵 
金屬元素	金屬元素
金屬半徑	金屬半徑 
類金屬	類金屬
類金屬元素	類金屬元素
甲醛	甲醛
甲烷	甲烷
甲烷水合物	甲烷水合物 
甲酸	甲酸,  蟻酸
甲醇	甲醇
乙酸甲酯	乙酸甲酯
苯甲酸甲酯	苯甲酸甲酯
丁酸甲酯	丁酸甲酯
甲酸甲酯	甲酸甲酯
甲基橙	甲基橙
甲基苯基醚	甲基苯基醚
丙酸甲酯	丙酸甲酯
甲基紅	甲基紅 
柳酸甲酯	水楊酸甲酯
甲基三級丁基醚	甲基叔丁基醚
甲胺	甲胺
甲基纖維素	甲基纖維素
亞甲藍	亞甲藍 
甲乙胺	甲基乙胺
微胞	膠束，微團
微量元素	微量元素
密立坎	密立根
礦物	礦物 
互溶　 	可溶混的
混合物	混合物
間甲基苄醇	m-甲基苄醇
莫耳{單位}	摩爾,克分子
重量莫耳濃度	重量摩爾濃度
莫耳導電度　　	摩爾電導率
莫耳分率	摩爾分數
莫耳燃燒熱	摩爾燃燒熱
莫耳生成熱	摩爾生成熱
莫耳熔化熱	摩爾熔化熱
莫耳中和熱	摩爾中和熱
莫耳汽化熱	摩爾汽化熱
莫耳質量	摩爾質量
莫耳體積	摩爾體積
體積莫耳濃度	摩爾濃度
莫耳	摩爾
莫耳分率	摩爾分數
分子化合物	分子化合物 
分子疾病	分子病 
分子式	分子式 
分子結構	分子結構
分子量	分子量
分子	分子
熔融碳酸鹽燃料電池	熔融碳酸鹽燃料電池
單斜硫	單斜硫
單牙團	單齒
單體	單體
單體單元	單體單元
單質子酸	單質子酸
單醣	單糖
嗎啡	嗎啡
莫斯利	摩斯利
間甲基苯甲酸	間甲苯甲酸
間二甲苯	間二甲苯
肌紅蛋白	肌紅蛋白
N,N-二甲基乙醯胺	N,N-二甲基乙酰胺
N,N-二甲基苯胺	N,N-二甲基苯胺
納菲薄膜　 	納菲薄膜
乙酸正戊酯	醋酸正戊酯
奈米	納米 
萘	萘
納他	納塔
天然含量	天然豐度
天然纖維	天然纖維
天然氣	天然氣
天然聚合物	天然高分子
天然樹脂	天然樹脂 
正丁烷	正丁烷
負光阻劑 	負性抗蝕劑
向列型	向列的
氖	氖
新戊烷	新戊烷
紐普韌	氯丁橡膠
能斯特	能斯脫
淨離子反應式	淨離子反應式
N-乙基乙醯胺	N-乙基乙酰胺
N -乙基苯胺	N-乙基苯胺
N-乙基丁胺	N-乙基丁胺
N-甲基-N-乙基苯胺	N-甲基-N-乙基苯胺
N-甲基-N-乙基丁醯胺	N-甲基-N-乙基丁酰胺
中和反應	中和反應
中子	中子
牛頓　 	牛頓
鎳鎘電池	鎳镉電池
鎳氫電池	鎳氫電池
菸鹼	煙堿，尼古丁
鎳鈦合金	鎳钛諾合金
硝化	硝化
氮	氮
氮循環	氮循環
氮氧化物	氮氧化合物 
含氮鹼	含氮堿基
硝化甘油	硝酸甘油
N-甲基甲醯胺	N-甲基甲酰胺
惰性氣體	惰性氣體
乙酸正辛酯	乙酸正辛酯
諾梅克斯	諾梅克斯
壬醛	壬醛
非水溶液	非水溶液
未鍵結電子對　　　	非鍵電子對
非電解質	非電解質
非電解質	非電解質
非離子界面活性劑	非離子型表面活性劑 
非離子界面活性劑	非離子型表面活性劑 
非金屬	非金屬
非金屬	非金屬
非金屬元素	非金屬元素
非極性共價鍵　　 	非極性共價鍵
非自發性	非自發性
非自發性氧化還原反應	非自發氧化還原反應
正常沸點	標準沸點
正常凝固點	正常凝固點
正鹽	正鹽
